result_id,car_number,starting_grid_position,final_position,points,laps,time,fastest_lap,top_speed_of_fl,constructor_id_id,driver_id_id,race_id_id
1,22,1,1,10,58,1:34:50.616,00:01:27.452,218.3,1,1,18
2,3,5,2,8,58,+5.478,00:01:27.739,217.586,2,2,18
3,7,7,3,6,58,+8.163,00:01:28.09,216.719,3,3,18
4,5,11,4,5,58,+17.181,00:01:28.603,215.464,4,4,18
5,23,3,5,4,58,+18.014,00:01:27.418,218.385,1,5,18
65,16,9,DNF,0,19,,00:01:36.125,202.686,11,18,20
66,15,19,DNF,0,0,,00:00:00,0,5,20,20
80,7,15,DNF,0,41,,00:01:23.319,201.13,3,3,21
81,5,2,DNF,0,34,,00:01:22.683,202.677,4,4,21
82,17,11,DNF,0,34,,00:01:23.858,199.837,11,22,21
83,23,6,DNF,0,21,,00:01:22.453,203.243,1,5,21
84,19,21,DNF,0,8,,00:01:26.864,192.922,8,19,21
85,14,16,DNF,0,7,,00:01:25.999,194.862,5,7,21
86,6,10,DNF,0,6,,00:01:25.444,196.128,4,12,21
87,20,20,DNF,0,0,,00:00:00,0,10,16,21
88,15,18,DNF,0,0,,00:00:00,0,5,20,21
106,14,18,DNF,0,24,,00:01:28.745,216.539,5,7,22
107,8,16,DNF,0,1,,00:00:00,0,3,6,22
108,21,20,DNF,0,0,,00:00:00,0,10,21,22
123,20,18,DNF,0,67,,00:01:22.039,146.564,10,16,23
124,7,6,DNF,0,59,,00:01:21.27,147.951,3,3,23
125,6,17,DNF,0,47,,00:01:31.187,131.86,4,12,23
23,1,2,1,10,56,1:31:18.555,00:01:35.405,209.158,6,8,19
24,4,4,2,8,56,+19.570,00:01:35.921,208.033,2,9,19
25,23,8,3,6,56,+38.450,00:01:35.922,208.031,1,5,19
26,11,3,4,5,56,+45.832,00:01:36.068,207.715,7,15,19
27,22,9,5,4,56,+46.548,00:01:35.462,209.033,1,1,19
28,3,5,6,3,56,+49.833,00:01:35.366,209.244,2,2,19
29,10,6,7,2,56,+1:08.130,00:01:36.696,206.366,9,17,19
30,5,7,8,1,56,+1:10.041,00:01:36.288,207.24,4,4,19
31,9,12,9,0,56,+1:16.220,00:01:36.206,207.417,9,14,19
32,16,11,10,0,56,+1:26.214,00:01:35.715,208.481,11,18,19
33,6,13,11,0,56,+1:32.202,00:01:36.956,205.812,4,12,19
126,21,20,DNF,0,36,,00:01:32.849,129.5,10,21,23
127,9,15,DNF,0,7,,00:01:42.112,117.753,9,14,23
128,14,16,DNF,0,7,,00:01:41.15,118.872,5,7,23
142,21,17,DNF,0,51,,00:01:19.066,198.563,10,21,24
143,8,12,DNF,0,46,,00:01:18.784,199.273,3,6,24
144,5,4,DNF,0,44,,00:01:18.225,200.697,4,4,24
145,6,15,DNF,0,43,,00:01:19.239,198.129,4,12,24
146,1,3,DNF,0,19,,00:01:17.387,202.871,6,8,24
147,22,1,DNF,0,19,,00:01:17.506,202.559,1,1,24
148,20,16,DNF,0,13,,00:01:20.666,194.624,10,16,24
168,16,16,DNF,0,16,,00:01:20.876,196.345,11,18,25
45,2,2,1,10,57,1:31:06.970,00:01:33.6,208.153,6,13,20
46,1,4,2,8,57,+3.339,00:01:33.709,207.911,6,8,20
47,4,1,3,6,57,+4.998,00:01:33.775,207.765,2,9,20
48,3,6,4,5,57,+8.409,00:01:33.565,208.231,2,2,20
49,23,5,5,4,57,+26.789,00:01:33.193,209.062,1,5,20
50,11,7,6,3,57,+41.314,00:01:34.204,206.819,7,15,20
51,10,11,7,2,57,+45.473,00:01:34.305,206.597,9,17,20
52,7,8,8,1,57,+55.889,00:01:34.072,207.109,3,3,20
53,12,13,9,0,57,+1:09.500,00:01:34.807,205.503,7,10,20
54,5,10,10,0,57,+1:17.181,00:01:35.194,204.668,4,4,20
55,17,12,11,0,57,+1:17.862,00:01:34.855,205.399,11,22,20
182,4,10,DNF,0,39,,00:01:33.539,197.859,2,9,26
183,16,17,DNF,0,38,,00:01:33.376,198.205,11,18,26
184,6,7,DNF,0,35,,00:01:33.203,198.573,4,12,26
185,21,19,DNF,0,16,,00:01:34.93,194.96,10,21,26
186,20,18,DNF,0,10,,00:01:38.16,188.545,10,16,26
187,15,8,DNF,0,0,,00:00:00,0,5,20,26
188,9,11,DNF,0,0,,00:00:00,0,9,14,26
206,17,18,DNF,0,50,,00:01:17.986,211.145,11,22,27
207,10,8,DNF,0,40,,00:01:17.206,213.278,9,17,27
208,12,11,DNF,0,35,,00:01:16.712,214.652,7,10,27
227,20,20,DNF,0,62,,00:01:23.65,188.542,10,16,28
67,1,1,1,10,66,1:38:19.051,00:01:21.67,205.191,6,8,21
68,2,3,2,8,66,+3.228,00:01:21.801,204.863,6,13,21
69,22,5,3,6,66,+4.187,00:01:22.017,204.323,1,1,21
70,4,4,4,5,66,+5.694,00:01:22.106,204.102,2,9,21
71,10,7,5,4,66,+35.938,00:01:22.564,202.969,9,17,21
72,16,13,6,3,66,+53.010,00:01:22.353,203.489,11,18,21
73,8,12,7,2,66,+58.244,00:01:23.549,200.576,3,6,21
74,11,8,8,1,66,+59.435,00:01:22.758,202.494,7,15,21
75,3,9,9,0,66,+1:03.073,00:01:22.519,203.08,2,2,21
228,15,11,DNF,0,22,,00:01:24.222,187.262,5,20,28
246,1,4,DNF,0,45,,00:01:39.424,196.214,6,8,29
247,20,20,DNF,0,41,,00:01:40.661,193.802,10,16,29
248,5,12,DNF,0,0,,00:00:00,0,4,4,29
267,17,16,DNF,0,19,,00:01:52.072,224.983,11,22,30
268,6,12,DNF,0,13,,00:01:51.118,226.915,4,12,30
288,21,12,DNF,0,11,,00:01:37.304,214.326,10,21,31
304,11,11,DNF,0,50,,00:01:46.972,170.523,7,15,32
305,20,19,DNF,0,49,,00:01:49.27,166.936,10,16,32
306,10,13,DNF,0,29,,00:01:49.183,167.069,9,17,32
307,17,18,DNF,0,14,,00:01:50.32,165.348,11,22,32
308,6,16,DNF,0,13,,00:01:50.449,165.154,4,12,32
324,21,20,DNF,0,21,,00:01:21.577,201.365,10,21,33
89,2,1,1,10,58,1:26:49.451,00:01:26.666,221.734,6,13,22
90,22,3,2,8,58,+3.779,00:01:26.529,222.085,1,1,22
91,1,4,3,6,58,+4.271,00:01:26.506,222.144,6,8,22
92,4,5,4,5,58,+21.945,00:01:26.78,221.442,2,9,22
93,3,9,5,4,58,+38.741,00:01:27.219,220.328,2,2,22
94,5,7,6,3,58,+53.724,00:01:27.28,220.174,4,4,22
95,10,6,7,2,58,+1:04.229,00:01:27.63,219.294,9,17,22
96,7,11,8,1,58,+1:11.406,00:01:27.795,218.882,3,3,22
97,9,10,9,0,58,+1:15.270,00:01:27.966,218.457,9,14,22
98,11,8,10,0,58,+1:16.344,00:01:27.926,218.556,7,15,22
325,23,3,DNF,0,16,,00:01:19.258,207.257,1,5,33
326,20,19,DNF,0,8,,00:01:21.189,202.327,10,16,33
327,12,8,DNF,0,6,,00:01:20.254,204.685,7,10,33
328,9,11,DNF,0,0,,00:00:00,0,9,14,33
346,23,5,DNF,0,49,,00:01:37.302,201.677,1,5,34
347,20,19,DNF,0,13,,00:01:39.683,196.86,10,16,34
348,11,7,DNF,0,2,,00:02:39.612,122.945,7,15,34
367,6,11,DNF,0,0,,00:00:00,0,4,12,35
368,9,14,DNF,0,0,,00:00:00,0,9,14,35
386,17,15,DNF,0,48,,00:01:28.303,216.196,3,25,36
109,22,3,1,10,76,2:00:42.742,00:01:18.51,153.152,1,1,23
110,4,5,2,8,76,+3.064,00:01:17.933,154.286,2,9,23
111,2,1,3,6,76,+4.811,00:01:17.886,154.379,6,13,23
112,10,9,4,5,76,+19.295,00:01:19.036,152.133,9,17,23
113,15,19,5,4,76,+24.657,00:01:18.787,152.614,5,20,23
114,17,14,6,3,76,+28.408,00:01:19.574,151.104,11,22,23
115,8,13,7,2,76,+30.180,00:01:19.91,150.469,3,6,23
116,23,4,8,1,76,+33.191,00:01:17.282,155.586,1,5,23
117,1,2,9,0,76,+33.792,00:01:16.689,156.789,6,8,23
387,14,18,DNF,0,48,,00:01:27.706,217.668,9,14,36
388,10,5,DNF,0,36,,00:01:26.642,220.341,2,9,36
389,19,17,DNF,0,28,,00:01:28.953,214.616,5,26,36
390,21,21,DNF,0,10,,00:01:30.899,210.022,12,27,36
409,16,6,DNF,0,42,,00:01:37.704,204.237,3,3,37
410,14,13,DNF,0,36,,00:01:38.098,203.416,9,14,37
411,21,20,DNF,0,7,,00:01:41.495,196.608,12,27,37
412,20,21,DNF,0,0,,00:00:00,0,12,16,37
429,15,8,DNF,0,41,,00:01:35.705,203.575,9,17,38
430,14,21,DNF,0,36,,00:01:35.384,204.26,9,14,38
431,22,17,DNF,0,34,,00:01:36.359,202.193,8,11,38
129,4,2,1,10,70,1:36:24.227,00:01:17.539,202.473,2,9,24
130,3,8,2,8,70,+16.495,00:01:17.43,202.758,2,2,24
131,9,13,3,6,70,+23.352,00:01:18.085,201.057,9,14,24
132,12,11,4,5,70,+42.627,00:01:19.087,198.51,7,10,24
133,2,6,5,4,70,+43.934,00:01:18.006,201.261,6,13,24
134,11,14,6,3,70,+47.775,00:01:18.87,199.056,7,15,24
135,17,9,7,2,70,+53.597,00:01:18.301,200.503,11,22,24
136,15,19,8,1,70,+54.120,00:01:18.532,199.913,5,20,24
137,23,7,9,0,70,+54.433,00:01:18.462,200.091,1,5,24
138,7,5,10,0,70,+54.749,00:01:17.977,201.336,3,3,24
139,16,20,11,0,70,+1:07.540,00:01:19.352,197.847,11,18,24
140,10,10,12,0,70,+1:11.299,00:01:18.201,200.759,9,17,24
432,18,18,DNF,0,26,,00:01:35.723,203.537,5,24,38
433,7,16,DNF,0,0,,00:00:00,0,11,18,38
434,19,19,DNF,0,0,,00:00:00,0,5,26,38
449,9,7,DNF,0,46,,00:01:23.483,200.735,2,2,39
450,11,17,DNF,0,44,,00:01:24.003,199.492,7,23,39
451,18,16,DNF,0,19,,00:01:25.207,196.673,5,24,39
452,19,22,DNF,0,9,,00:01:26.238,194.322,5,26,39
453,6,3,DNF,0,9,,00:01:23.475,200.754,6,8,39
149,2,2,1,10,70,1:31:50.245,00:01:16.729,206.956,6,13,25
150,1,1,2,8,70,+17.984,00:01:16.63,207.224,6,8,25
151,11,4,3,6,70,+28.250,00:01:17.567,204.721,7,15,25
152,23,10,4,5,70,+28.929,00:01:17.134,205.87,1,5,25
153,4,5,5,4,70,+30.512,00:01:17.172,205.768,2,9,25
154,10,6,6,3,70,+40.304,00:01:17.507,204.879,9,17,25
155,6,9,7,2,70,+41.033,00:01:17.758,204.218,4,12,25
156,5,3,8,1,70,+43.372,00:01:17.641,204.525,4,4,25
157,9,7,9,0,70,+51.021,00:01:17.818,204.06,9,14,25
158,22,13,10,0,70,+54.538,00:01:17.453,205.022,1,1,25
159,12,8,11,0,70,+57.700,00:01:17.836,204.013,7,10,25
160,15,12,12,0,70,+58.065,00:01:17.76,204.212,5,20,25
161,3,11,13,0,70,+1:02.079,00:01:17.716,204.328,2,2,25
454,12,6,DNF,0,8,,00:01:26.094,194.647,7,15,39
455,15,19,DNF,0,7,,00:01:26.323,194.131,9,17,39
456,17,18,DNF,0,1,,00:00:00,0,3,25,39
476,20,19,DNF,0,53,,00:01:17.678,154.792,12,16,40
477,15,6,DNF,0,17,,00:01:18.998,152.206,9,17,40
478,18,12,DNF,0,2,,00:00:00,0,5,24,40
491,12,10,DNF,0,58,,00:01:19.092,198.497,7,15,41
169,22,4,1,10,60,1:39:09.440,00:01:32.817,199.398,1,1,26
170,3,5,2,8,60,+1:08.577,00:01:32.719,199.609,2,2,26
171,17,16,3,6,60,+1:22.273,00:01:33.386,198.183,11,22,26
